"f (Hz)"	"G (S)"	"B (S)"
1.100e+05	1.47e-05	3.57e-04
1.101e+05	1.48e-05	3.57e-04
1.102e+05	1.49e-05	3.58e-04
1.103e+05	1.51e-05	3.59e-04
1.104e+05	1.52e-05	3.60e-04
1.105e+05	1.53e-05	3.60e-04
1.106e+05	1.55e-05	3.62e-04
1.107e+05	1.56e-05	3.63e-04
1.108e+05	1.57e-05	3.65e-04
1.109e+05	1.58e-05	3.67e-04
1.110e+05	1.59e-05	3.68e-04
1.111e+05	1.59e-05	3.70e-04
1.112e+05	1.59e-05	3.71e-04
1.113e+05	1.59e-05	3.73e-04
1.114e+05	1.59e-05	3.74e-04
1.115e+05	1.60e-05	3.75e-04
1.116e+05	1.61e-05	3.76e-04
1.117e+05	1.63e-05	3.76e-04
1.118e+05	1.65e-05	3.76e-04
1.119e+05	1.67e-05	3.76e-04
1.120e+05	1.68e-05	3.76e-04
1.121e+05	1.70e-05	3.78e-04
1.122e+05	1.71e-05	3.79e-04
1.123e+05	1.73e-05	3.81e-04
1.124e+05	1.74e-05	3.82e-04
1.125e+05	1.76e-05	3.84e-04
1.126e+05	1.78e-05	3.84e-04
1.127e+05	1.79e-05	3.84e-04
1.128e+05	1.80e-05	3.84e-04
1.129e+05	1.80e-05	3.84e-04
1.130e+05	1.80e-05	3.84e-04
1.131e+05	1.80e-05	3.86e-04
1.132e+05	1.80e-05	3.88e-04
1.133e+05	1.81e-05	3.89e-04
1.134e+05	1.82e-05	3.91e-04
1.135e+05	1.84e-05	3.93e-04
1.136e+05	1.85e-05	3.94e-04
1.137e+05	1.87e-05	3.96e-04
1.138e+05	1.88e-05	3.97e-04
1.139e+05	1.90e-05	3.99e-04
1.140e+05	1.92e-05	4.00e-04
1.141e+05	1.93e-05	4.01e-04
1.142e+05	1.97e-05	4.02e-04
1.143e+05	2.01e-05	4.03e-04
1.144e+05	2.05e-05	4.04e-04
1.145e+05	2.09e-05	4.05e-04
1.146e+05	2.13e-05	4.08e-04
1.147e+05	2.17e-05	4.10e-04
1.148e+05	2.21e-05	4.12e-04
1.149e+05	2.25e-05	4.15e-04
1.150e+05	2.29e-05	4.17e-04
