"f (Hz)"	"G_exp (S)"	"G_mod (S)"	"B_exp (S)"	"B_mod (S)"	"R_exp (Ohm)"	"R_mod (Ohm)"	"X_exp (Ohm)"	"X_mod (Ohm)"
1.1000e+05	1.4700e-05	1.5652e-05	3.5700e-04	3.6267e-04	1.1515e+02	1.1878e+02	-2.7964e+03	-2.7522e+03	
1.1010e+05	1.4800e-05	1.5729e-05	3.5700e-04	3.6351e-04	1.1593e+02	1.1881e+02	-2.7963e+03	-2.7458e+03	
1.1020e+05	1.4900e-05	1.5806e-05	3.5800e-04	3.6437e-04	1.1606e+02	1.1883e+02	-2.7885e+03	-2.7393e+03	
1.1030e+05	1.5100e-05	1.5885e-05	3.5900e-04	3.6523e-04	1.1696e+02	1.1886e+02	-2.7806e+03	-2.7328e+03	
1.1040e+05	1.5200e-05	1.5964e-05	3.6000e-04	3.6610e-04	1.1708e+02	1.1889e+02	-2.7728e+03	-2.7263e+03	
1.1050e+05	1.5300e-05	1.6045e-05	3.6000e-04	3.6697e-04	1.1784e+02	1.1892e+02	-2.7728e+03	-2.7198e+03	
1.1060e+05	1.5500e-05	1.6127e-05	3.6200e-04	3.6785e-04	1.1806e+02	1.1895e+02	-2.7574e+03	-2.7133e+03	
1.1070e+05	1.5600e-05	1.6210e-05	3.6300e-04	3.6874e-04	1.1817e+02	1.1899e+02	-2.7497e+03	-2.7067e+03	
1.1080e+05	1.5700e-05	1.6294e-05	3.6500e-04	3.6964e-04	1.1763e+02	1.1902e+02	-2.7347e+03	-2.7001e+03	
1.1090e+05	1.5800e-05	1.6379e-05	3.6700e-04	3.7054e-04	1.1709e+02	1.1906e+02	-2.7198e+03	-2.6935e+03	
1.1100e+05	1.5900e-05	1.6466e-05	3.6800e-04	3.7145e-04	1.1719e+02	1.1910e+02	-2.7123e+03	-2.6869e+03	
1.1110e+05	1.5900e-05	1.6554e-05	3.7000e-04	3.7237e-04	1.1593e+02	1.1915e+02	-2.6977e+03	-2.6802e+03	
1.1120e+05	1.5900e-05	1.6643e-05	3.7100e-04	3.7330e-04	1.1531e+02	1.1919e+02	-2.6905e+03	-2.6735e+03	
1.1130e+05	1.5900e-05	1.6734e-05	3.7300e-04	3.7424e-04	1.1408e+02	1.1924e+02	-2.6761e+03	-2.6668e+03	
1.1140e+05	1.5900e-05	1.6825e-05	3.7400e-04	3.7518e-04	1.1347e+02	1.1929e+02	-2.6690e+03	-2.6600e+03	
1.1150e+05	1.6000e-05	1.6919e-05	3.7500e-04	3.7613e-04	1.1357e+02	1.1935e+02	-2.6618e+03	-2.6533e+03	
1.1160e+05	1.6100e-05	1.7013e-05	3.7600e-04	3.7709e-04	1.1367e+02	1.1940e+02	-2.6547e+03	-2.6465e+03	
1.1170e+05	1.6300e-05	1.7109e-05	3.7600e-04	3.7806e-04	1.1508e+02	1.1946e+02	-2.6546e+03	-2.6397e+03	
1.1180e+05	1.6500e-05	1.7207e-05	3.7600e-04	3.7904e-04	1.1649e+02	1.1952e+02	-2.6545e+03	-2.6328e+03	
1.1190e+05	1.6700e-05	1.7306e-05	3.7600e-04	3.8003e-04	1.1789e+02	1.1958e+02	-2.6543e+03	-2.6259e+03	
1.1200e+05	1.6800e-05	1.7407e-05	3.7600e-04	3.8102e-04	1.1860e+02	1.1965e+02	-2.6543e+03	-2.6190e+03	
1.1210e+05	1.7000e-05	1.7509e-05	3.7800e-04	3.8203e-04	1.1874e+02	1.1972e+02	-2.6402e+03	-2.6121e+03	
1.1220e+05	1.7100e-05	1.7613e-05	3.7900e-04	3.8304e-04	1.1880e+02	1.1979e+02	-2.6332e+03	-2.6052e+03	
1.1230e+05	1.7300e-05	1.7718e-05	3.8100e-04	3.8407e-04	1.1893e+02	1.1986e+02	-2.6193e+03	-2.5982e+03	
1.1240e+05	1.7400e-05	1.7825e-05	3.8200e-04	3.8510e-04	1.1899e+02	1.1994e+02	-2.6124e+03	-2.5911e+03	
1.1250e+05	1.7600e-05	1.7934e-05	3.8400e-04	3.8615e-04	1.1911e+02	1.2002e+02	-2.5987e+03	-2.5841e+03	
1.1260e+05	1.7800e-05	1.8045e-05	3.8400e-04	3.8720e-04	1.2046e+02	1.2010e+02	-2.5986e+03	-2.5770e+03	
1.1270e+05	1.7900e-05	1.8157e-05	3.8400e-04	3.8827e-04	1.2113e+02	1.2018e+02	-2.5985e+03	-2.5699e+03	
1.1280e+05	1.8000e-05	1.8272e-05	3.8400e-04	3.8935e-04	1.2180e+02	1.2027e+02	-2.5985e+03	-2.5628e+03	
1.1290e+05	1.8000e-05	1.8388e-05	3.8400e-04	3.9043e-04	1.2180e+02	1.2036e+02	-2.5985e+03	-2.5556e+03	
1.1300e+05	1.8000e-05	1.8507e-05	3.8400e-04	3.9153e-04	1.2180e+02	1.2045e+02	-2.5985e+03	-2.5484e+03	
1.1310e+05	1.8000e-05	1.8627e-05	3.8600e-04	3.9264e-04	1.2055e+02	1.2055e+02	-2.5851e+03	-2.5411e+03	
1.1320e+05	1.8000e-05	1.8749e-05	3.8800e-04	3.9376e-04	1.1931e+02	1.2065e+02	-2.5718e+03	-2.5338e+03	
1.1330e+05	1.8100e-05	1.8874e-05	3.8900e-04	3.9490e-04	1.1935e+02	1.2075e+02	-2.5651e+03	-2.5265e+03	
1.1340e+05	1.8200e-05	1.9001e-05	3.9100e-04	3.9604e-04	1.1879e+02	1.2086e+02	-2.5520e+03	-2.5192e+03	
1.1350e+05	1.8400e-05	1.9130e-05	3.9300e-04	3.9720e-04	1.1887e+02	1.2097e+02	-2.5390e+03	-2.5118e+03	
1.1360e+05	1.8500e-05	1.9261e-05	3.9400e-04	3.9837e-04	1.1891e+02	1.2108e+02	-2.5325e+03	-2.5044e+03	
1.1370e+05	1.8700e-05	1.9394e-05	3.9600e-04	3.9955e-04	1.1898e+02	1.2120e+02	-2.5196e+03	-2.4969e+03	
1.1380e+05	1.8800e-05	1.9530e-05	3.9700e-04	4.0075e-04	1.1902e+02	1.2132e+02	-2.5133e+03	-2.4894e+03	
1.1390e+05	1.9000e-05	1.9669e-05	3.9900e-04	4.0196e-04	1.1908e+02	1.2145e+02	-2.5006e+03	-2.4819e+03	
1.1400e+05	1.9200e-05	1.9810e-05	4.0000e-04	4.0318e-04	1.1972e+02	1.2157e+02	-2.4943e+03	-2.4743e+03	
1.1410e+05	1.9300e-05	1.9954e-05	4.0100e-04	4.0442e-04	1.1975e+02	1.2171e+02	-2.4880e+03	-2.4667e+03	
